Time;00:00:00;00:24:27;00:48:54;01:13:21;01:37:48;02:02:15;02:26:42;02:51:09;03:15:36;03:40:03;04:04:30;04:28:57;04:53:24;05:17:51;05:42:18;06:06:45;06:31:12;06:55:39;07:20:06;07:44:33;08:09:00;08:33:27;08:57:54;09:22:21;09:46:48;10:11:15;10:35:42;11:00:09;11:24:36;11:49:03;12:13:30;12:37:57;13:02:24;13:26:51;13:51:18;14:15:45;14:40:12;15:04:39;15:29:06;15:53:33;16:18:00;16:42:27;17:06:54;17:31:21;17:55:48;18:20:15;18:44:42;19:09:09;19:33:36;19:58:03;20:22:30;20:46:57;21:11:24;21:35:51;22:00:18;22:24:45;22:49:12;23:13:39;23:38:06;24:02:33;24:27:00;24:51:27;25:15:54;25:40:21;26:04:48;26:29:15;26:53:42;27:18:09;27:42:36;28:07:03;28:31:30;28:55:57;29:20:24;29:44:51;30:09:18;30:33:45;30:58:12;31:22:39;31:47:06;32:11:33;32:36:00;33:00:27;33:24:54;33:49:21;34:13:48;34:38:15;35:02:42;35:27:09;35:51:36;36:16:03;36:40:30;37:04:57;37:29:24;37:53:51;38:18:18;38:42:45;39:07:12;39:31:39;39:56:06;40:20:33;40:45:00;41:09:27;41:33:54;41:58:21;42:22:48;42:47:15;43:11:42;43:36:09;44:00:36;44:25:03;44:49:30;45:13:57;45:38:24;46:02:51;46:27:18;46:51:45;47:16:12;47:40:39;48:05:06;48:29:33;48:54:00;49:18:27;49:42:54
A1;1744;2225;2376;2798;2613;2763;2857;2715;2970;2852;2975;2939;3288;2726;3287;3449;3011;3006;3188;3317;2957;2690;3113;3065;2775;2942;2966;2944;2894;2746;3217;3232;3169;3007;3353;3291;2807;3270;3227;3011;2941;3542;3471;3508;3737;4137;3456;3425;3667;3944;3831;3776;4020;3799;3480;3566;3825;3810;4026;3420;3883;3749;4006;3890;3550;4219;3538;3694;3376;3812;3371;3238;3353;3359;3281;3194;2845;3306;3240;2995;3272;2959;2207;2722;2558;2785;3010;2537;2398;2645;2552;2667;2737;2542;2460;2229;2200;2575;2021;2345;2476;2266;2244;2492;2312;2094;2329;2243;2321;2440;2123;2352;2255;2535;2098;2438;2359;2302;2148;2108;2037;1963;1999
A2;1911;2673;1862;2399;2516;3111;3253;2952;3124;3098;3396;3123;3495;3331;3517;3444;3261;3138;3629;3266;3279;2900;3119;2763;3098;3345;2812;2993;2736;2709;2919;2832;2659;2700;2573;3101;2733;2478;2529;2478;2947;2891;2542;2147;2505;2675;2626;2339;2457;3072;2499;2577;2787;2762;2954;2980;2853;2537;2634;2769;2473;2853;2782;2701;2530;3005;2213;2450;2558;2393;2882;2571;2219;2560;2847;2647;2354;2577;2466;2567;2402;2453;2805;2611;2254;2496;2601;2563;2293;2611;2273;2416;2250;2340;2501;2215;2311;2499;2097;2035;2554;2291;2056;2452;2374;2215;2089;2328;2298;2404;2010;2221;2057;2305;1938;2362;2295;2490;2412;2170;2060;2014;2410
A3;1905;2276;2348;2648;2518;3178;2796;3072;3063;3103;3046;3219;3412;3099;3586;3077;3265;2687;3444;3055;3108;2992;2972;2794;3186;2925;2919;2980;2664;2805;2528;2959;2819;2766;2682;2305;2743;3084;2720;2393;2600;2367;2984;2610;2628;2668;2560;2425;2577;2425;2933;2676;2570;2793;2722;2364;2523;2618;2615;2746;2678;2626;2531;2730;2808;2229;2668;2572;2624;2690;2410;2391;2202;2463;2570;2305;2340;2363;2176;2906;2713;2337;2456;2642;2163;2296;2027;2270;2191;2182;2502;2065;2387;2329;2286;2478;2084;2331;2325;2302;2657;2209;2391;2056;2529;2289;2435;2430;2325;2169;2317;2457;2004;2184;2276;2434;2287;2112;2379;2027;2012;1778;2474
A4;1397;2384;2187;2120;2415;2253;2445;2361;2904;2693;2802;2728;2709;2937;2721;2552;2933;3049;2519;2680;2657;2463;2882;3011;3057;2741;2899;2916;2920;2633;2971;2860;2692;2799;2845;2490;2736;2697;2463;2319;2404;2658;2414;2391;2417;2243;2244;2461;2138;2165;2428;2454;2535;2217;2375;2453;2569;2512;2410;2376;2436;2257;2507;2240;2446;2056;2359;2158;2332;2488;2246;2423;2229;2390;1830;2191;2042;2322;2085;2490;2062;2224;2451;2215;2332;2340;2120;2628;2383;2114;2327;2216;2274;2010;2228;1968;2024;2219;2032;1967;2617;2089;2000;2087;2269;1943;2268;2360;2302;2517;2125;2469;1771;1709;1990;2129;2171;2151;2241;2332;1761;2349;1765
A5;1279;1660;2019;2096;2324;2361;2936;3015;2569;2743;2990;3154;2847;2858;2956;3076;2916;2837;2649;2830;2906;3044;2456;2703;3161;3045;2882;2525;2553;2629;2707;2843;2322;2695;2292;2581;2484;2774;2574;2154;2658;2600;2457;2514;2124;2325;1986;2423;2549;2474;2094;2402;2545;2508;2261;2236;2501;2679;2179;2505;2770;2349;2152;2384;2616;2875;2293;2247;2646;2442;2866;2463;2424;2575;2435;2298;2320;2229;2278;2227;2467;2473;2543;2549;2775;2647;2642;2145;2325;2647;2238;2103;2039;2223;2752;2224;2420;2279;2457;2179;2127;2208;2086;2148;2282;2265;2400;3317;2579;2053;2291;2066;2228;1988;2307;1943;1978;2550;2360;2245;2429;2193;2339
A6;1597;2106;1995;2663;2155;2877;2570;2572;2801;2663;3123;3088;3047;2893;2773;3131;2898;2869;2892;2758;2823;2763;2825;2680;3199;2487;2830;2908;2463;2842;2733;2595;2600;2721;2397;2720;2539;2816;3069;3008;2968;2805;2947;3336;2859;3339;3311;3700;3204;3091;3256;3409;3522;3568;3695;3168;3440;3590;3542;3606;3743;3657;3717;3386;3693;3645;3560;3514;3738;3482;3718;3601;3016;3232;3131;3902;3563;2868;3085;2965;2822;2919;2886;2848;2889;2472;2885;2753;2811;2601;2626;2457;2618;2672;2208;2696;2507;2439;2658;2183;2449;2332;2469;2395;2100;2246;2368;2531;2037;2422;1941;2272;2369;2004;1975;2280;2239;2166;2375;2268;2363;1963;2081
A7;1792;2377;2705;2272;2559;2958;2858;3361;2773;3329;3304;3639;3444;3402;3148;3467;3429;3325;3192;3211;3265;3224;2887;3182;2729;3191;3002;2726;3069;2827;2551;2723;2642;2623;2515;2698;2704;2240;2726;2640;2745;3115;2868;2691;2665;2323;2570;2434;2720;2607;2560;2372;2658;2274;2647;2553;2256;2769;2722;2388;2721;2501;2237;2132;2535;2536;2065;2432;2300;2484;2175;2725;2708;1937;2296;2638;2432;2607;2222;2446;2624;2299;2199;2554;2585;2352;2588;2404;2583;2320;2308;2406;2219;2254;2060;2266;2167;2172;2166;2208;1927;2175;2276;1993;2509;2418;1980;2621;2078;2221;2102;2313;2206;2442;2293;2151;2277;2057;1954;2064;2131;2158;1925
B1;1958;2663;2576;2406;2566;2771;2664;3225;3562;2997;3471;3484;2683;3029;3057;3183;3116;2891;3106;3133;2768;2973;3113;3172;3159;2713;3013;2794;2964;2958;3328;2793;3068;3615;3373;3459;3859;3339;3557;3341;3647;3816;3834;3542;4327;4360;4286;4359;4886;4462;4565;4133;4187;4716;4660;4255;4169;4823;4307;4371;3972;4444;4758;3936;4165;3995;3625;3577;3761;3875;3620;3296;3299;2969;2842;2736;3031;2839;2743;2426;2536;2225;2328;2654;2939;2513;2337;2336;2492;2062;2205;2103;2349;2733;2199;2324;2358;2567;2103;2090;2624;2360;2226;2076;2534;2253;2268;2351;1992;2080;1862;1929;2328;1903;2125;1952;1897;2227;2325;2146;2113;2032;2255
B2;1893;2382;2260;2221;2549;2609;3082;2728;3181;3252;3345;3056;3323;3059;3523;3653;3411;3152;3090;3069;3174;2807;2640;3159;3061;3071;2972;2804;3051;2781;2908;2612;2653;2327;2532;2543;2361;2650;2646;2553;2751;2337;2720;2599;2681;2793;2418;2574;2485;2732;2418;2638;2128;2592;2492;2462;2671;2558;2621;2338;2644;2353;2376;2919;2530;2439;2466;2205;2415;2406;2624;2408;2547;2421;2258;2350;2323;2367;2209;2411;2336;2752;2095;2008;2253;2018;2482;2338;2361;2262;1847;2340;2523;2005;2493;2150;2553;2169;2289;2275;2106;2038;2204;2259;2185;2348;2467;2680;1965;2105;2104;2385;2011;2239;2426;2300;2391;2611;2342;2185;2226;2229;2044
B3;1818;2345;2530;2981;2795;2942;2960;3286;3138;3403;3670;3624;3432;3482;3160;3578;3256;3748;3771;3515;2767;3408;3423;3192;3135;2806;2930;3400;2797;2770;2999;2549;2929;2783;2896;2710;2725;2920;3018;2737;2660;2507;2138;2565;2481;2449;2668;2740;2218;2375;2133;2369;2607;2540;2684;2476;2832;2610;2463;2723;2542;2587;2506;2613;2628;2783;2591;2748;2486;2795;2605;2528;2367;2274;2477;2392;2163;2202;2384;2009;2680;2758;2223;2271;2119;2221;2447;2540;2441;2144;2457;2467;2256;2273;2341;1924;2500;2003;2580;2041;2191;2594;2293;2426;2269;2107;2352;2205;2290;2171;2260;2534;2045;1999;2425;2479;2345;2153;2334;1988;2296;2210;2270
